Rk.,,Batter,,Pitcher,PA,Inning,Result,EV,LA,Dist,Bat_speed,Pitch_velo,xBA,numParks
50,,Kyle Farmer,,Sandy Alcantara,14,3,Groundout,92.6,-4,28,74.6,90.6,.240,
51,,Dane Myers,,Chase Dollander,13,2,Flyout,91.6,49,263,71.2,79.1,.000,
52,,Eric Wagaman,,Chase Dollander,12,2,Groundout,79.1,-5,18,73.2,78.5,.100,
53,,Orlando Arcia,,Sandy Alcantara,10,2,Groundout,68.8,-46,4,⚡82.1,97.5,.200,
54,,Brenton Doyle,,Sandy Alcantara,9,2,Flyout,90.9,36,300,71.2,86.9,.040,0/30
55,,Ryan McMahon,,Sandy Alcantara,8,2,Lineout,78.8,12,161,70.9,91.8,.410,
56,,Kyle Stowers,,Chase Dollander,7,1,Groundout,99.1,-14,9,⚡78.4,98.6,.240,
57,,Jesús Sánchez,,Chase Dollander,5,1,Flyout,91.1,29,300,72.0,98.7,.070,0/30
58,,Xavier Edwards,,Chase Dollander,4,1,Groundout,97.8,2,79,72.4,98.4,.470,
59,,Thairo Estrada,,Sandy Alcantara,2,1,Groundout,70.0,10,112,70.4,98.2,.300,
1,,Keibert Ruiz,,Ryan Pressly,77,9,Groundout,100.3,-18,9,67.5,89.2,.120,
2,,Robert Hassell III,,Ryan Pressly,76,9,Groundout,72.6,3,56,68.7,92.6,.130,
3,,Josh Bell,,Ryan Pressly,75,9,Groundout,61.3,-54,4,⚡75.3,87.1,.250,
4,,Luis García Jr.,,Ryan Pressly,74,9,Single,106.1,10,202,⚡77.0,82.0,.850,
5,,Dansby Swanson,,Jackson Rutledge,73,9,Groundout,100.9,-6,22,68.0,97.1,.330,
6,,Michael Busch,,Jackson Rutledge,72,9,Flyout,90.8,56,240,68.7,90.6,.010,
7,,Carson Kelly,,Jackson Rutledge,71,9,Groundout,62.3,-34,7,74.6,86.8,.060,
8,,Nathaniel Lowe,,Génesis Cabrera,70,8,Groundout,102.0,1,56,73.8,95.6,.460,
9,,James Wood,,Génesis Cabrera,69,8,Flyout,95.9,30,347,⚡80.3,95.9,.220,0/30
10,,CJ Abrams,,Génesis Cabrera,68,8,Flyout,78.0,43,247,71.1,95.4,.050,
11,,Seiya Suzuki,,Zach Brzykcy,66,8,Groundout,73.4,-5,22,70.1,94.3,.090,
12,,Daylen Lile,,Caleb Thielbar,64,7,Flyout,64.4,31,208,65.9,81.7,.830,
13,,José Tena,,Caleb Thielbar,63,7,Double,98.4,27,384,72.2,92.3,.460,0/30
14,,Keibert Ruiz,,Caleb Thielbar,62,7,Flyout,83.7,38,292,61.6,93.7,.010,
15,,Matt Shaw,,Zach Brzykcy,60,7,Forceout,85.9,3,65,70.2,92.6,.380,
16,,Justin Turner,,Zach Brzykcy,59,7,Single,87.8,56,207,61.3,93.1,.010,
17,,Nico Hoerner,,Zach Brzykcy,58,7,Pop Out,91.7,65,143,72.7,93.4,.010,
18,,Dansby Swanson,,Zach Brzykcy,57,7,Flyout,97.8,51,266,71.2,93.6,.010,
19,,Michael Busch,,Zach Brzykcy,56,7,Home Run,109.1,36,410,71.7,94.0,.880,29/30
20,,Josh Bell,,Caleb Thielbar,55,6,GIDP,103.4,-3,36,⚡76.3,91.6,.390,
21,,Luis García Jr.,,Cade Horton,54,6,Single,79.2,19,232,69.1,83.0,.990,
22,,James Wood,,Cade Horton,52,6,Double,116.0,15,376,⚡79.9,95.1,.780,0/30
23,,Carson Kelly,,Eduardo Salazar,51,6,Groundout,97.2,-9,16,70.1,94.6,.200,
24,,CJ Abrams,,Cade Horton,47,5,Groundout,83.3,-13,11,67.2,95.8,.110,
25,,Daylen Lile,,Cade Horton,46,5,Groundout,64.2,-6,13,74.1,81.9,.110,
26,,Matt Shaw,,Cole Henry,44,5,Lineout,107.6,18,352,70.9,93.3,.690,0/30
27,,Nico Hoerner,,Cole Henry,42,5,Single,85.8,4,94,69.8,95.0,.350,
28,,Carson Kelly,,Andrew Chafin,39,5,Single,73.2,17,161,73.3,89.6,.810,
29,,Seiya Suzuki,,Trevor Williams,37,5,Sac Fly,103.1,49,298,⚡75.9,86.3,.030,
30,,Ian Happ,,Trevor Williams,36,5,Single,54.7,-43,5,72.9,81.7,.150,
31,,Matt Shaw,,Trevor Williams,35,5,Double,104.4,24,340,73.8,85.7,.850,8/30
32,,Keibert Ruiz,,Cade Horton,34,4,Groundout,70.0,-3,30,61.1,95.7,.070,
33,,Robert Hassell III,,Cade Horton,33,4,Pop Out,80.9,72,116,71.7,83.3,.000,
34,,Josh Bell,,Cade Horton,32,4,Single,104.2,21,391,71.1,83.2,.690,0/30
35,,Luis García Jr.,,Cade Horton,31,4,Lineout,94.5,16,276,73.4,83.0,.650,
36,,Justin Turner,,Trevor Williams,30,4,Flyout,96.6,31,381,68.0,86.7,.250,0/30
37,,Nico Hoerner,,Trevor Williams,29,4,Flyout,83.2,46,232,72.9,87.1,.020,
38,,Dansby Swanson,,Trevor Williams,28,4,Sac Fly,101.4,33,366,69.0,87.7,.450,6/30
39,,Michael Busch,,Trevor Williams,27,4,Single,85.9,10,121,71.0,77.4,.490,
40,,Carson Kelly,,Trevor Williams,26,4,Fielders Choice,102.6,-7,17,⚡75.7,87.8,.310,
41,,Pete Crow-Armstrong,,Trevor Williams,25,4,Double,90.5,15,205,⚡81.7,77.1,.990,
42,,Nathaniel Lowe,,Cade Horton,24,3,Lineout,82.4,27,266,73.7,95.9,.140,
43,,James Wood,,Cade Horton,23,3,Sac Fly,82.1,44,255,⚡82.5,97.0,.010,
44,,CJ Abrams,,Cade Horton,22,3,Groundout,82.4,-15,14,71.8,96.7,.130,
45,,Daylen Lile,,Cade Horton,21,3,Double,75.3,-14,11,71.2,86.6,.060,
46,,Seiya Suzuki,,Trevor Williams,19,3,Pop Out,70.9,71,89,71.8,88.7,.000,
47,,Ian Happ,,Trevor Williams,18,3,Flyout,99.0,26,355,70.4,81.8,.470,0/30
48,,Keibert Ruiz,,Cade Horton,16,2,Groundout,83.5,-31,3,64.0,85.0,.030,
49,,Robert Hassell III,,Cade Horton,15,2,Groundout,102.1,-11,9,69.6,96.2,.220,
50,,Josh Bell,,Cade Horton,14,2,Groundout,83.2,-14,8,67.7,83.9,.070,
51,,Justin Turner,,Trevor Williams,13,2,Flyout,95.6,37,351,71.6,88.4,.090,1/30
52,,Nico Hoerner,,Trevor Williams,12,2,Flyout,71.7,53,187,63.4,76.7,.130,
53,,Dansby Swanson,,Trevor Williams,11,2,Sac Fly,97.6,30,376,70.8,77.8,.390,0/30
54,,Michael Busch,,Trevor Williams,10,2,Triple,83.7,24,233,⚡76.5,87.9,.230,
55,,Luis García Jr.,,Cade Horton,8,1,Single,100.6,11,234,68.8,95.5,.910,
56,,Nathaniel Lowe,,Cade Horton,7,1,Groundout,68.3,-13,11,71.6,82.6,.060,
57,,CJ Abrams,,Cade Horton,5,1,Single,75.3,23,246,73.4,95.7,.920,
1,,Bo Naylor,,Devin Williams,67,9,Flyout,92.7,24,323,73.2,85.7,.150,0/30
2,,Daniel Schneemann,,Devin Williams,66,9,Single,94.7,-5,16,70.2,84.2,.280,
3,,Carlos Santana,,Devin Williams,64,9,Double,95.0,23,342,71.8,94.2,.160,0/30
4,,Kyle Manzardo,,Devin Williams,63,9,Flyout,92.7,50,274,66.0,95.4,.010,
5,,Paul Goldschmidt,,Kolby Allard,62,8,Flyout,83.6,34,271,⚡75.5,86.4,.010,
6,,Cody Bellinger,,Kolby Allard,61,8,Single,97.5,11,205,65.8,89.7,.870,
7,,Ben Rice,,Kolby Allard,59,8,Groundout,76.7,-19,7,70.9,83.8,.050,
8,,José Ramírez,,Mark Leiter Jr.,58,8,Groundout,90.7,8,122,⚡75.4,85.2,.530,
9,,Angel Martínez,,Mark Leiter Jr.,57,8,Lineout,102.1,14,111,69.0,93.2,.790,
10,,Nolan Jones,,Mark Leiter Jr.,55,8,Flyout,76.3,48,237,72.0,87.0,.090,
11,,Trent Grisham,,Kolby Allard,54,7,Flyout,95.0,32,,69.3,84.4,.150,
12,,DJ LeMahieu,,Kolby Allard,53,7,Lineout,106.9,17,352,,90.0,.590,0/30
13,,J.C. Escarra,,Tanner Bibee,52,7,Lineout,90.4,24,326,59.7,95.2,.130,0/30
14,,Anthony Volpe,,Tanner Bibee,51,7,Home Run,102.2,27,372,70.5,80.5,.700,29/30
15,,Jazz Chisholm Jr.,,Tanner Bibee,50,7,Home Run,105.7,24,358,72.8,92.7,.930,2/30
16,,Bo Naylor,,Carlos Rodón,49,7,Flyout,94.4,48,263,⚡77.0,87.4,.000,
17,,Gabriel Arias,,Carlos Rodón,47,7,Single,108.5,9,224,⚡77.5,93.5,.750,
18,,Carlos Santana,,Carlos Rodón,46,7,Lineout,99.1,19,322,72.3,85.2,.310,0/30
19,,David Fry,,Carlos Rodón,45,7,Single,102.0,-8,10,70.3,94.1,.250,
20,,José Ramírez,,Carlos Rodón,44,7,Single,97.9,-13,6,70.7,85.3,.210,
21,,Aaron Judge,,Tanner Bibee,41,6,Flyout,110.0,46,335,⚡77.4,78.9,.340,0/30
22,,Angel Martínez,,Carlos Rodón,40,6,Flyout,90.0,45,285,71.7,86.3,.010,
23,,Steven Kwan,,Carlos Rodón,39,6,Groundout,96.4,-5,22,70.8,91.6,.280,
24,,Ben Rice,,Tanner Bibee,37,5,Groundout,107.4,-1,45,69.9,94.0,.490,
25,,Trent Grisham,,Tanner Bibee,36,5,Field Error,100.1,2,59,71.2,82.1,.450,
26,,DJ LeMahieu,,Tanner Bibee,35,5,Single,93.6,18,251,68.9,95.6,.500,
27,,Anthony Volpe,,Tanner Bibee,33,5,Lineout,106.2,17,314,74.3,95.2,.550,0/30
28,,Jazz Chisholm Jr.,,Tanner Bibee,32,5,Single,70.9,39,230,68.5,83.1,.470,
29,,Paul Goldschmidt,,Tanner Bibee,31,5,Groundout,95.1,-11,17,71.0,95.6,.190,
30,,Bo Naylor,,Carlos Rodón,30,5,Groundout,74.6,-16,8,72.1,94.3,.050,
31,,Will Wilson,,Carlos Rodón,29,5,Groundout,65.5,-13,13,74.9,95.4,.040,
32,,Cody Bellinger,,Tanner Bibee,27,4,Pop Out,71.4,87,36,⚡75.3,85.9,.000,
33,,Ben Rice,,Tanner Bibee,25,4,Groundout,105.3,-2,34,69.6,79.8,.430,
34,,Trent Grisham,,Tanner Bibee,24,4,Flyout,92.2,42,325,⚡77.5,95.7,.010,0/30
35,,Carlos Santana,,Carlos Rodón,23,4,Lineout,106.2,14,318,71.1,94.1,.740,0/30
36,,José Ramírez,,Carlos Rodón,21,4,Pop Out,85.5,87,36,⚡78.1,94.3,.000,
37,,DJ LeMahieu,,Tanner Bibee,20,3,Groundout,91.5,4,95,61.3,95.8,.450,
38,,J.C. Escarra,,Tanner Bibee,19,3,Flyout,91.1,27,350,73.5,95.7,.110,0/30
39,,Anthony Volpe,,Tanner Bibee,18,3,Groundout,69.2,-46,2,68.1,95.8,.220,
40,,Angel Martínez,,Carlos Rodón,17,3,Groundout,101.9,-8,10,⚡76.7,85.0,.300,
41,,Steven Kwan,,Carlos Rodón,16,3,Pop Out,77.1,72,87,63.5,95.5,.000,
42,,Jazz Chisholm Jr.,,Tanner Bibee,14,2,Flyout,87.8,40,291,⚡76.5,83.9,.010,
43,,Cody Bellinger,,Tanner Bibee,12,2,Groundout,89.1,-33,4,69.9,96.7,.060,
44,,Bo Naylor,,Carlos Rodón,11,2,Flyout,92.0,27,348,69.9,93.3,.090,0/30
45,,José Ramírez,,Carlos Rodón,3,1,Single,72.5,25,235,73.1,93.5,.970,
46,,Angel Martínez,,Carlos Rodón,2,1,Single,90.8,12,162,73.5,82.9,.830,
47,,Steven Kwan,,Carlos Rodón,1,1,Groundout,66.0,-10,15,65.7,94.2,.080,
1,,Bo Bichette,,Carlos Hernández,80,9,Flyout,74.8,35,258,73.3,85.3,.150,
2,,Andrés Giménez,,Carlos Hernández,79,9,Pop Out,68.3,61,149,⚡82.1,86.4,.010,
3,,Alec Bohm,,Braydon Fisher,75,9,Single,57.9,-71,3,72.1,88.4,.180,
4,,Nathan Lukes,,Max Lazar,73,8,GIDP,96.9,-6,12,68.8,92.1,.250,
5,,Addison Barger,,Max Lazar,71,8,Home Run,100.8,34,373,⚡81.5,92.3,.410,29/30
6,,Bryce Harper,,Erik Swanson,68,8,Pop Out,85.9,65,179,⚡75.2,84.2,.010,
7,,Trea Turner,,Erik Swanson,67,8,Home Run,100.1,25,373,⚡79.9,82.4,.510,19/30
8,,Bryson Stott,,Erik Swanson,66,8,Flyout,79.0,50,233,65.3,93.9,.040,
9,,Brandon Marsh,,Erik Swanson,65,8,Pop Out,70.4,69,127,73.2,83.3,.000,
10,,Vladimir Guerrero Jr.,,Joe Ross,64,7,Groundout,94.5,-3,31,⚡79.7,87.9,.260,
11,,Andrés Giménez,,Joe Ross,62,7,Lineout,73.8,16,164,68.7,89.6,.710,
12,,Nick Castellanos,,Paxton Schultz,59,7,Forceout,68.2,-9,17,64.7,86.4,.060,
13,,Alec Bohm,,Paxton Schultz,58,7,Single,95.8,15,249,71.7,94.7,.850,
14,,Myles Straw,,Cristopher Sánchez,57,6,Groundout,69.1,-21,5,61.5,86.2,.040,
15,,Ernie Clement,,Cristopher Sánchez,55,6,Flyout,89.2,43,276,⚡76.0,94.8,.000,
16,,Addison Barger,,Cristopher Sánchez,54,6,Single,62.7,-53,2,66.2,94.0,.310,
17,,Trea Turner,,Paxton Schultz,51,6,Single,103.7,-29,5,⚡84.0,87.0,.170,
18,,Brandon Marsh,,Eric Lauer,49,6,Flyout,98.8,37,340,70.5,90.1,.180,0/30
19,,Alejandro Kirk,,Cristopher Sánchez,48,5,Groundout,64.4,-37,6,,84.6,.050,
20,,Bo Bichette,,Cristopher Sánchez,45,5,Single,101.2,-9,18,68.8,95.2,.250,
21,,Myles Straw,,Cristopher Sánchez,43,5,Flyout,81.6,36,294,70.0,87.2,.010,
22,,Davis Schneider,,Cristopher Sánchez,42,5,Home Run,103.2,33,372,68.4,83.4,.560,25/30
23,,J.T. Realmuto,,Eric Lauer,41,5,Groundout,95.4,-6,20,59.1,76.4,.310,
24,,Max Kepler,,Eric Lauer,40,5,Flyout,80.0,39,273,⚡75.5,78.2,.020,
25,,Ernie Clement,,Cristopher Sánchez,38,4,Groundout,88.9,-26,6,71.1,95.3,.070,
26,,Addison Barger,,Cristopher Sánchez,37,4,Groundout,80.9,-61,1,⚡76.1,86.3,.340,
27,,Alec Bohm,,Eric Lauer,35,4,Pop Out,68.1,71,100,71.2,92.6,.000,
28,,Kyle Schwarber,,Eric Lauer,34,4,Flyout,93.1,54,240,⚡76.3,84.9,.010,
29,,Bryce Harper,,Eric Lauer,33,4,Groundout,100.8,-8,16,⚡81.7,83.9,.280,
30,,George Springer,,Cristopher Sánchez,32,3,Groundout,94.4,-1,41,⚡84.4,94.9,.350,
31,,Bo Bichette,,Cristopher Sánchez,30,3,Groundout,104.8,-40,3,73.7,93.9,.100,
32,,Andrés Giménez,,Cristopher Sánchez,29,3,Groundout,85.7,5,85,65.3,84.2,.360,
33,,Trea Turner,,Eric Lauer,28,3,Lineout,92.3,3,97,66.0,85.6,.440,
34,,Bryson Stott,,Eric Lauer,27,3,Lineout,82.9,25,288,70.8,85.7,.200,
35,,Brandon Marsh,,Eric Lauer,26,3,Forceout,73.1,-17,8,74.0,85.1,.060,
36,,Myles Straw,,Cristopher Sánchez,24,2,Lineout,59.7,35,174,63.8,85.2,.370,
37,,Davis Schneider,,Cristopher Sánchez,23,2,Single,96.8,-12,10,74.2,95.3,.140,
38,,Ernie Clement,,Cristopher Sánchez,22,2,Flyout,80.8,36,259,64.0,87.7,.020,
39,,Max Kepler,,Eric Lauer,20,2,Pop Out,78.1,79,48,73.1,84.3,.000,
40,,Nick Castellanos,,Bowden Francis,19,2,Flyout,89.0,28,295,62.2,93.1,.060,
41,,Alec Bohm,,Bowden Francis,18,2,Single,96.1,-1,44,70.4,94.2,.380,
42,,Kyle Schwarber,,Bowden Francis,17,2,Pop Out,81.8,71,102,74.7,93.7,.000,
43,,Alejandro Kirk,,Cristopher Sánchez,15,1,Forceout,112.0,-4,26,⚡78.3,94.0,.430,
44,,Bo Bichette,,Cristopher Sánchez,12,1,Groundout,98.2,-1,39,73.5,93.0,.430,
45,,Trea Turner,,Bowden Francis,11,1,Flyout,99.0,23,372,72.8,83.3,.390,0/30
46,,Bryson Stott,,Bowden Francis,10,1,Single,102.6,8,131,70.1,94.1,.720,
47,,J.T. Realmuto,,Bowden Francis,8,1,Single,103.3,8,162,74.2,93.3,.720,
48,,Max Kepler,,Bowden Francis,7,1,Single,99.9,,53,67.6,94.3,.430,
49,,Alec Bohm,,Bowden Francis,5,1,Single,103.1,21,362,74.2,94.6,.540,5/30
50,,Bryce Harper,,Bowden Francis,3,1,Home Run,104.9,21,394,⚡76.6,82.1,.740,24/30
51,,Trea Turner,,Bowden Francis,2,1,Home Run,100.3,31,377,70.3,93.2,.510,16/30
1,,Ceddanne Rafaela,,Reid Detmers,84,10,Pop Out,66.1,70,101,72.6,96.8,.000,
2,,Jorge Soler,,Zack Kelly,81,10,Pop Out,74.5,61,150,⚡75.4,92.3,.030,
3,,Taylor Ward,,Zack Kelly,80,10,GIDP,92.9,-3,24,⚡76.0,92.1,.300,
4,,Nolan Schanuel,,Zack Kelly,78,10,Sac Bunt,25.0,30,41,5.2,91.2,.230,
5,,Romy Gonzalez,,Kenley Jansen,77,9,Groundout,108.1,-9,17,⚡78.4,95.1,.390,
6,,Jarren Duran,,Kenley Jansen,74,9,Flyout,93.6,33,346,74.2,93.4,.110,0/30
7,,Chris Taylor,,Aroldis Chapman,71,9,Groundout,92.4,-17,7,73.6,99.1,.150,
8,,Jo Adell,,Aroldis Chapman,70,9,Lineout,74.4,13,147,⚡76.8,98.2,.350,
